comment,FilePath,preId,id,zh-cn,en-us
"t('hook.queRenShanChu')","../src/views/system/personnel/hook.tsx:105","hook","queRenShanChu","确认删除该人员","en"
"t('index.renYuanMingCheng')","../src/views/system/personnel/index.vue:44","index","renYuanMingCheng","人员名称：","en"
"t('index.qingShuRuRen')","../src/views/system/personnel/index.vue:47","index","qingShuRuRen","请输入人员名称","en"
"t('index.shouJiHaoMa')","../src/views/system/personnel/index.vue:51","index","shouJiHaoMa","手机号码：","en"
"t('index.qingShuRuShou1')","../src/views/system/personnel/index.vue:54","index","qingShuRuShou1","请输入手机号码","en"
"t('validate.zuiDuoGeZi')","../src/views/system/personnel/validate.ts:8","validate","zuiDuoGeZi","最多30 个字符","en"
"t('validate.changDuZaiDao')","../src/views/system/personnel/validate.ts:12","validate","changDuZaiDao","长度在 6 到 18 个字符","en"
"t('validate.qingZaiCiQue')","../src/views/system/personnel/validate.ts:20","validate","qingZaiCiQue","请再次确认密码","en"
"t('validate.liangCiShuRu')","../src/views/system/personnel/validate.ts:22","validate","liangCiShuRu","两次输入密码不一致!","en"
"t('validate.qingShuRuZheng')","../src/views/system/personnel/validate.ts:35","validate","qingShuRuZheng","请输入正确格式的手机号","en"
"t('validate.qingXuanZeZhuang')","../src/views/system/personnel/validate.ts:40","validate","qingXuanZeZhuang","请选择状态","en"
"t('addUpdate.tianJiaJiaoSe')","../src/views/system/role/addUpdate.vue:11","addUpdate","tianJiaJiaoSe","添加角色","en"
"t('addUpdate.qingShuRuJiao')","../src/views/system/role/addUpdate.vue:37","addUpdate","qingShuRuJiao","请输入角色名","en"
"t('addUpdate.qingShuRuJiao1')","../src/views/system/role/addUpdate.vue:38","addUpdate","qingShuRuJiao1","请输入角色描述","en"
"t('addUpdate.jiaoSeMing')","../src/views/system/role/addUpdate.vue:113","addUpdate","jiaoSeMing","角色名","en"
"t('addUpdate.jiaoSeMiaoShu')","../src/views/system/role/addUpdate.vue:120","addUpdate","jiaoSeMiaoShu","角色描述","en"
"t('assignMenu.jiaZaiZhong')","../src/views/system/role/assignMenu.vue:34","assignMenu","jiaZaiZhong","加载中...","en"
"t('assignMenu.zanWuShuJu')","../src/views/system/role/assignMenu.vue:73","assignMenu","zanWuShuJu","暂无数据","en"
"t('assignMenu.jiaZaiShiBai')","../src/views/system/role/assignMenu.vue:92","assignMenu","jiaZaiShiBai","加载失败","en"
"t('hook.bianJiJiaoSe')","../src/views/system/role/hook.tsx:83","hook","bianJiJiaoSe","编辑角色","en"
"t('hook.queRenShanChu')","../src/views/system/role/hook.tsx:88","hook","queRenShanChu","确认删除该角色","en"
"t('index.jiaoSeMing1')","../src/views/system/role/index.vue:44","index","jiaoSeMing1","角色名：","en"
"t('index.jiaoSeMiaoShu1')","../src/views/system/role/index.vue:47","index","jiaoSeMiaoShu1","角色描述：","en"
"t('index.xinZengJiaoSe')","../src/views/system/role/index.vue:73","index","xinZengJiaoSe","新增角色","en"
"t('index.peiZhiCaiDan')","../src/views/system/role/index.vue:116","index","peiZhiCaiDan","配置菜单","en"
"t('recharge.qingShuRuChan')","../src/views/water-bill/recharge.vue:7","recharge","qingShuRuChan","请输入产品名称","en"
"t('recharge.qingXuanZeShu')","../src/views/water-bill/recharge.vue:8","recharge","qingXuanZeShu","请选择KYC属性","en"
"t('recharge.yiJi')","../src/views/water-bill/recharge.vue:13","recharge","yiJi","一级KYC","en"
"t('recharge.erJi')","../src/views/water-bill/recharge.vue:14","recharge","erJi","二级KYC","en"
"t('recharge.sanJi')","../src/views/water-bill/recharge.vue:15","recharge","sanJi","三级KYC","en"
"t('recharge.buXianZhi')","../src/views/water-bill/recharge.vue:16","recharge","buXianZhi","不限制","en"
"t('recharge.sheZhiChengGong')","../src/views/water-bill/recharge.vue:37","recharge","sheZhiChengGong","设置成功！","en"
"t('recharge.jiChuPeiZhi')","../src/views/water-bill/recharge.vue:62","recharge","jiChuPeiZhi","基础配置","en"
"t('recharge.chanPinMingCheng')","../src/views/water-bill/recharge.vue:64","recharge","chanPinMingCheng","产品名称","en"
"t('recharge.gouMaiYongHu')","../src/views/water-bill/recharge.vue:79","recharge","gouMaiYongHu","购买用户约束","en"
"t('recharge.shuXing')","../src/views/water-bill/recharge.vue:81","recharge","shuXing","KYC属性","en"
"t('recharge.baoCunSheZhi')","../src/views/water-bill/recharge.vue:106","recharge","baoCunSheZhi","保存设置","en"
"t('record.dingDanBianHao')","../src/views/water-bill/record.vue:40","record","dingDanBianHao","订单编号：","en"
"t('record.qingShuRuDing')","../src/views/water-bill/record.vue:41","record","qingShuRuDing","请输入订单编号","en"
"t('record.jiaoFeiDanHao')","../src/views/water-bill/record.vue:43","record","jiaoFeiDanHao","缴费单号：","en"
"t('record.qingShuRuJiao')","../src/views/water-bill/record.vue:44","record","qingShuRuJiao","请输入缴费单号","en"
"t('record.jiaoYiShiJian')","../src/views/water-bill/record.vue:46","record","jiaoYiShiJian","交易时间：","en"
"t('record.zhi')","../src/views/water-bill/record.vue:52","record","zhi","至","en"
"t('record.kaiShiShiJian')","../src/views/water-bill/record.vue:53","record","kaiShiShiJian","开始时间","en"
"t('record.jieShuShiJian')","../src/views/water-bill/record.vue:54","record","jieShuShiJian","结束时间","en"
"t('record.zhuangTai')","../src/views/water-bill/record.vue:58","record","zhuangTai","状态：","en"
"t('record.daoChu')","../src/views/water-bill/record.vue:81","record","daoChu","导出","en"
"t('record.chongZhi')","../src/views/water-bill/record.vue:116","record","chongZhi","充值","en"
"t('record.tuiKuan')","../src/views/water-bill/record.vue:126","record","tuiKuan","退款","en"
"t('recordDialog.chongZhiChengGong')","../src/views/water-bill/recordDialog.vue:23","recordDialog","chongZhiChengGong","充值成功！","en"
"t('recordDialog.jiaoFeiDanHao1')","../src/views/water-bill/recordDialog.vue:45","recordDialog","jiaoFeiDanHao1","缴费单号","en"
"t('recordDialog.chongZhiBiZhong')","../src/views/water-bill/recordDialog.vue:49","recordDialog","chongZhiBiZhong","充值币种","en"
"t('recordDialog.chongZhiMianE')","../src/views/water-bill/recordDialog.vue:53","recordDialog","chongZhiMianE","充值面额","en"
"t('recordHook.daiFuKuan')","../src/views/water-bill/recordHook.tsx:21","recordHook","daiFuKuan","待付款","en"
"t('recordHook.zhiFuWanCheng')","../src/views/water-bill/recordHook.tsx:22","recordHook","zhiFuWanCheng","支付完成","en"
"t('recordHook.chongZhiWanCheng')","../src/views/water-bill/recordHook.tsx:23","recordHook","chongZhiWanCheng","充值完成","en"
"t('recordHook.tuiKuanChengGong')","../src/views/water-bill/recordHook.tsx:24","recordHook","tuiKuanChengGong","退款成功","en"
"t('recordHook.fuKuanZhong')","../src/views/water-bill/recordHook.tsx:26","recordHook","fuKuanZhong","付款中","en"
"t('recordHook.tuiKuanZhong')","../src/views/water-bill/recordHook.tsx:27","recordHook","tuiKuanZhong","退款中","en"
"t('recordHook.fuKuanShiBai')","../src/views/water-bill/recordHook.tsx:28","recordHook","fuKuanShiBai","付款失败","en"
"t('recordHook.tuiKuanShiBai')","../src/views/water-bill/recordHook.tsx:29","recordHook","tuiKuanShiBai","退款失败","en"
"t('recordHook.yiQuXiao')","../src/views/water-bill/recordHook.tsx:30","recordHook","yiQuXiao","已取消","en"
"t('recordHook.dingDanBianHao1')","../src/views/water-bill/recordHook.tsx:56","recordHook","dingDanBianHao1","订单编号","en"
"t('recordHook.yongHu')","../src/views/water-bill/recordHook.tsx:60","recordHook","yongHu","用户ID","en"
"t('recordHook.shouJiHaoMa')","../src/views/water-bill/recordHook.tsx:64","recordHook","shouJiHaoMa","手机号码","en"
"t('recordHook.qianBaoMingCheng')","../src/views/water-bill/recordHook.tsx:71","recordHook","qianBaoMingCheng","钱包名称","en"
"t('recordHook.chanPin')","../src/views/water-bill/recordHook.tsx:75","recordHook","chanPin","产品ID","en"
"t('recordHook.jiaoFeiBiZhong')","../src/views/water-bill/recordHook.tsx:83","recordHook","jiaoFeiBiZhong","缴费币种","en"
"t('recordHook.qianFeiJinE')","../src/views/water-bill/recordHook.tsx:87","recordHook","qianFeiJinE","欠费金额","en"
"t('recordHook.fuKuanBiZhong')","../src/views/water-bill/recordHook.tsx:91","recordHook","fuKuanBiZhong","付款币种","en"
"t('recordHook.fuKuanJinE')","../src/views/water-bill/recordHook.tsx:95","recordHook","fuKuanJinE","付款金额","en"
"t('recordHook.jiaoYiShiJian1')","../src/views/water-bill/recordHook.tsx:108","recordHook","jiaoYiShiJian1","交易时间","en"
"t('recordHook.queDingYaoWei')","../src/views/water-bill/recordHook.tsx:129","recordHook","queDingYaoWei","确定要为该用户退款?","en"
"t('recordHook.shuiFeiChongZhi')","../src/views/water-bill/recordHook.tsx:167","recordHook","shuiFeiChongZhi","水费充值记录","en"
"t('index.huanYingShiYong')","../src/views/welcome/index.vue:10","index","huanYingShiYong","欢迎使用水费后台管理系统","en"
